神策 ID,设备 ID,登录 ID,activity_user_type,app_first_login_time,channel_name,client_type,community_id
8008504141489023276,1670c5662b0476-018f31a00592ad8-360f353f-250125-1670c5662b1413,766e9d614727896366531e63c429f801,2.0,2018-11-13 17:19:39.000,,h5,hangzhou
-8630693177432223093,1671c7d5bc03d-0ea8e120229481-55315f0e-230400-1671c7d5bc3194,ec261f6c05c7bc2e0bee4fd414ae50de,1.0,2019-06-27 13:09:10.000,,,wulumuqi
-2652264984538904230,167430cb6146f9-020ee7a63cc37f-4d3d7064-250125-167430cb615521,0e3e31abc5489edf7736a0e97990ee8b,4.0,2019-02-16 09:43:34.000,,h5,
3359925634792004787,1674813e3ae16d-058a26bf2783e9-6457766a-230400-1674813e3b366,8a2fba4d23c8f6125789cfe16c80c135,4.0,2019-04-05 10:51:20.000,,h5,
1721196336714758324,167553bfddd0-044e626b77f59c-1776626d-230400-167553bfddf91,064a1ffd09b54109ee3eff015f8f6070,4.0,2019-09-09 10:23:54.000,,h5,beijing
3240332898476566560,1675d83075723-0b5e6ae3d3d2d6-e146a3b-373248-1675d83075923e,f184bd806c748080468b5cd6484aaefe,3.0,2018-11-29 12:24:30.000,,,guangzhou
-6576826679326756982,167638418840-0a6a1d5c223be1-3f104f3d-230400-16763841886bf,4985a5d51143115e3c4bb53d3f908039,2.0,2018-12-02 10:10:58.000,,h5,guangzhou
-6979283231500088680,167d11f09821c4-0065577c29c335-2f691557-304704-167d11f09831fc,b0a32c3d8d51f416d9726d242e1e32ce,2.0,2018-12-30 00:16:32.000,,h5,changsha
4755040241024405137,16809ef3db163a-059aa6321c3983-5d10297e-304704-16809ef3db25c3,048c3c5d05f371d9ae3c2528663eed32,4.0,2020-03-03 15:38:21.000,,,
6952635043980037244,168e781abb4b3-0fc9d382e3532d-17176e1a-230400-168e781abb6112,6ebee67c8e9c2f3f3f27323eedaca839,3.0,2019-02-28 14:05:12.000,,h5,dalian
8512997538971504953,169102f69f510a-03a81e22ec69c3-2501302f-230400-169102f69f719b,fbd8611d586282d9b1f8fdb85fff07db,2.0,2019-02-21 21:17:56.000,,h5,wuhan
3477751858872654279,1696181eaa4cd-0e00ed024fa7f4-57164529-230400-1696181eaa713a,21deaee9d684a347e0fa1c017fe8bdc0,2.0,2019-03-14 14:56:30.000,,h5,nanjing
1405102749688899386,16a0eaa1c2a477-0ad28daf9-410b3259-786432-16a0eaa1c2b149,1e4149ef9a6731cee07bf352585d710d,4.0,2020-02-26 20:58:12.000,2020年1月研习社春季直播活动-自然,,
6251644009395798779,16a15879a421ef-0bc6595d67bf82-110b130b-304704-16a15879a4d2,ea8cd03e9671525ddc9fde0f881f80ae,4.0,2019-04-13 15:14:53.000,,,shenzhen
5766197575918036719,16a4cf938321c3-04dcfca324077f-37307b13-280800-16a4cf93833133,75da3e3e7b035182b5caccb635bae575,1.0,2019-03-25 11:14:33.000,,h5,wuhan
-275007977656438575,16af2223df3118-0902c97fec5dcb-360d1350-280800-16af2223df41b5,00ca1e0f81f177efa938888d29610983,4.0,2019-09-17 20:15:47.000,,h5,
